X,Y,Z,W,R
0.326661,0.902362,0.51928,0.261787,0.15
0.554195,0.514342,0.186113,0.762916,0.15
0.209566,0.0552729,0.0337426,0.801672,0.15
0.132834,0.315536,0.753979,0.997798,0.15
0.576004,0.796138,0.729937,0.50956,0.15
0.801773,0.195194,0.292141,0.318289,0.15
0.311848,0.318468,0.134636,0.665443,0.15
0.996214,0.742417,0.279143,0.0416729,0.15
0.987267,0.00170716,0.192597,0.179365,0.15
0.846695,0.908772,0.260276,0.964006,0.15
0.356847,0.48603,0.756455,0.899291,0.15
0.698632,0.552364,0.905157,0.633078,0.15
0.165313,0.722469,0.966686,0.646747,0.15
0.0491064,0.596445,0.0296897,0.406667,0.15
0.789072,0.271548,0.873708,0.800242,0.15
0.118977,0.667367,0.713154,0.0681089,0.15
0.631458,0.0672635,0.940705,0.301935,0.15
0.729426,0.338045,0.00917869,0.49284,0.15
0.492738,0.576779,0.683513,0.2445,0.15
0.700445,0.572627,0.207037,0.518387,0.15
0.0271774,0.601141,0.163669,0.643169,0.15
0.713037,0.781722,0.318007,0.329621,0.15
0.986898,0.417878,0.0436685,0.910239,0.15
0.13786,0.377953,0.829757,0.483538,0.15
0.909276,0.9928,0.384797,0.661604,0.15
0.267763,0.320479,0.925047,0.714725,0.15
0.61494,0.413581,0.211995,0.0303903,0.15
0.691283,0.966984,4.82551e-05,0.14678,0.15
0.942928,0.245769,0.377314,0.987201,0.15
0.771628,0.686755,0.121362,0.0388112,0.15
0.0169893,0.677981,0.298175,0.949885,0.15
0.120624,0.852097,0.364982,0.279429,0.15
0.336255,0.848869,0.0983559,0.371155,0.15
0.720425,0.0185754,0.342228,0.515916,0.15
0.0905372,0.987616,0.401735,0.221565,0.15
0.883607,0.990808,0.0628347,0.666317,0.15
0.164779,0.963577,0.883337,0.762232,0.15
0.491781,0.343258,0.621133,0.0685404,0.15
0.647392,0.340922,0.546227,0.875859,0.15
0.219485,0.929622,0.499912,0.900271,0.15
0.753263,0.491221,0.495579,0.571228,0.15
0.114897,0.585586,0.650466,0.55678,0.15
0.980302,0.39344,0.530827,0.467835,0.15
0.485353,0.0933829,0.370853,0.139628,0.15
0.341784,0.64137,0.963411,0.0467296,0.15
0.543765,0.441439,0.247585,0.318933,0.15
0.728469,0.077982,0.653974,0.548305,0.15
0.417075,0.657037,0.382127,0.717572,0.15
0.454762,0.989126,0.419203,0.720424,0.15
0.249177,0.0357199,0.280445,0.628544,0.15
0.714786,0.690843,0.957086,0.377844,0.15
0.354409,0.359227,0.163039,0.978206,0.15
0.0867098,0.0536496,0.373172,0.960579,0.15
0.692648,0.506,0.96636,0.934356,0.15
0.395248,0.0565321,0.740391,0.69392,0.15
0.926891,0.371004,0.764684,0.266665,0.15
0.97831,0.162585,0.679786,0.077728,0.15
0.985887,0.175926,0.785109,0.467116,0.15
0.0531872,0.792968,0.996263,0.0187853,0.15
0.749094,0.00284168,0.293187,0.00379575,0.15
0.829978,0.654732,0.0908335,0.80879,0.15
0.0727148,0.338628,0.554612,0.802073,0.15
0.981297,0.220683,0.0692811,0.79496,0.15
0.958225,0.24756,0.979824,0.293452,0.15
0.398948,0.96293,0.135974,0.841279,0.15
0.694992,0.823986,0.0601044,0.472993,0.15
0.484146,0.862059,0.149516,0.138748,0.15
0.00679811,0.0767639,0.791831,0.824417,0.15
0.0563306,0.779029,0.424873,0.528851,0.15
0.738577,0.451419,0.56411,0.265505,0.15
0.750723,0.0194875,0.609975,0.854602,0.15
0.329948,0.87781,0.832319,0.0492703,0.15
0.372049,0.993408,0.528728,0.901367,0.15
0.141761,0.48736,0.00538163,0.828229,0.15
0.502763,0.362302,0.872024,0.422173,0.15
0.620492,0.144135,0.123603,0.0194677,0.15
0.998685,0.176809,0.660568,0.439668,0.15
0.532811,0.0991698,0.646942,0.302876,0.15
0.0308842,0.505331,0.859511,0.731618,0.15
0.505879,0.312624,0.988834,0.947215,0.15
0.971744,0.254924,0.201081,0.714989,0.15
0.401973,0.694366,0.448063,0.441872,0.15
0.09928,0.325259,0.0119498,0.40471,0.15
0.90686,0.719534,0.462434,0.608843,0.15
0.825006,0.98098,0.707822,0.347407,0.15
0.999866,0.881533,0.843294,0.259155,0.15
0.257543,0.204798,0.524845,0.981642,0.15
0.107159,0.439833,0.386299,0.980458,0.15
0.164229,0.17294,0.247521,0.336151,0.15
0.337884,0.326486,0.30198,0.175011,0.15
0.0462619,0.900707,0.769974,0.0300334,0.15
0.70113,0.512471,0.832402,0.170013,0.15
0.771196,0.637476,0.472868,0.0619661,0.15
0.0138129,0.662427,0.535228,0.821452,0.15
0.729394,0.219145,0.528608,0.0790896,0.15
0.949705,0.190563,0.929285,0.0358704,0.15
0.112383,0.527169,0.314768,0.304591,0.15
0.959387,0.886507,0.362899,0.0330686,0.15
0.35299,0.16035,0.978364,0.203735,0.15
0.701525,0.294013,0.80364,0.000641721,0.15
