X0,X1,X2,X3,R
3.400540000000000229e-01,7.474759999999999738e-02,7.351020000000000332e-01,5.353839999999999710e-01,1.499999999999999944e-01
3.619899999999999785e-01,4.797259999999999858e-01,9.474850000000000216e-01,7.394089999999999829e-01,1.499999999999999944e-01
8.535880000000000134e-01,8.763549999999999951e-01,1.098390000000000061e-01,3.443640000000000034e-01,1.499999999999999944e-01
6.523349999999999982e-02,1.970530000000000059e-01,5.473050000000000415e-01,7.379520000000000524e-02,1.499999999999999944e-01
3.411270000000000135e-01,9.326529999999999543e-01,5.276960000000000539e-01,7.927570000000000450e-01,1.499999999999999944e-01
9.574690000000000145e-01,3.469280000000000141e-01,2.945479999999999765e-01,3.211570000000000258e-01,1.499999999999999944e-01
5.036869999999999958e-01,4.037000000000000033e-01,6.041459999999999886e-02,6.456119999999999637e-01,1.499999999999999944e-01
1.365860000000000130e-01,1.274889999999999912e-01,9.343540000000000179e-01,3.280410000000000270e-02,1.499999999999999944e-01
1.248409999999999936e-01,9.851050000000000084e-01,3.641050000000000120e-01,4.788899999999999581e-03,1.499999999999999944e-01
7.491949999999999998e-02,7.161189999999999500e-01,2.698829999999999840e-01,7.350560000000000427e-02,1.499999999999999944e-01
9.320869999999999989e-01,8.991730000000000000e-01,1.327319999999999889e-01,8.606310000000000349e-01,1.499999999999999944e-01
3.168090000000000073e-01,3.715570000000000261e-01,6.059639999999999471e-01,7.509569999999999856e-01,1.499999999999999944e-01
3.687250000000000250e-01,9.950240000000000196e-01,9.868879999999999875e-01,6.423440000000000261e-01,1.499999999999999944e-01
1.430490000000000095e-01,9.537219999999999587e-01,6.287540000000000351e-01,6.123870000000000147e-01,1.499999999999999944e-01
7.638329999999999842e-01,4.138809999999999989e-01,7.351290000000000324e-01,6.267779999999999463e-01,1.499999999999999944e-01
4.472679999999999989e-01,8.185879999999999823e-01,4.932599999999999763e-01,6.903119999999999569e-03,1.499999999999999944e-01
7.279139999999999500e-01,8.065630000000000299e-01,4.887319999999999998e-01,6.979490000000000416e-01,1.499999999999999944e-01
8.868420000000000192e-01,2.839490000000000069e-01,2.253130000000000133e-01,7.851190000000000113e-01,1.499999999999999944e-01
6.112119999999999775e-01,6.852110000000000145e-01,6.943099999999999827e-01,3.788400000000000101e-01,1.499999999999999944e-01
6.145869999999999944e-01,6.891180000000000083e-01,1.020879999999999982e-01,4.462300000000000155e-01,1.499999999999999944e-01
8.067919999999999259e-03,5.742930000000000534e-01,4.890259999999999573e-03,8.197510000000000074e-01,1.499999999999999944e-01
7.526890000000000525e-01,8.301439999999999930e-01,3.602909999999999724e-01,1.951930000000000054e-01,1.499999999999999944e-01
8.073000000000000176e-01,5.544890000000000096e-01,4.965629999999999766e-01,3.072529999999999983e-01,1.499999999999999944e-01
7.834279999999999673e-04,3.047579999999999734e-01,6.969629999999999992e-01,3.022659999999999791e-01,1.499999999999999944e-01
9.989729999999999999e-01,9.808189999999999964e-01,7.371850000000000624e-02,5.998809999999999976e-01,1.499999999999999944e-01
3.567949999999999733e-01,2.642599999999999949e-01,9.094499999999999806e-01,6.009579999999999922e-01,1.499999999999999944e-01
7.309900000000000286e-01,3.050059999999999993e-01,9.476480000000000459e-01,8.035110000000000256e-04,1.499999999999999944e-01
2.094679999999999875e-01,3.754919999999999786e-02,6.030799999999999494e-01,5.972949999999999657e-04,1.499999999999999944e-01
7.641449999999999632e-01,7.442410000000000692e-02,2.351380000000000137e-01,9.645129999999999537e-01,1.499999999999999944e-01
6.445210000000000106e-01,1.031460000000000016e-01,1.882369999999999877e-01,3.140300000000000036e-02,1.499999999999999944e-01
9.514770000000000172e-01,7.538080000000000336e-01,9.716839999999999922e-01,1.004049999999999943e-01,1.499999999999999944e-01
2.791549999999999865e-01,7.094749999999999668e-01,9.566940000000000444e-01,4.904760000000000231e-01,1.499999999999999944e-01
8.462089999999999890e-01,1.978099999999999997e-02,8.904389999999999805e-01,4.120260000000000034e-01,1.499999999999999944e-01
6.213959999999999484e-01,1.157449999999999972e-02,3.408329999999999971e-01,4.376470000000000082e-01,1.499999999999999944e-01
5.319190000000000307e-01,9.635939999999999506e-01,4.640810000000000213e-01,2.585660000000000180e-01,1.499999999999999944e-01
2.805199999999999916e-01,9.959069999999999867e-01,9.964830000000000076e-01,4.534509999999999930e-01,1.499999999999999944e-01
8.286949999999999594e-01,1.473810000000000051e-02,8.303690000000000238e-01,7.123119999999999452e-01,1.499999999999999944e-01
5.288770000000000415e-01,1.900459999999999927e-01,5.032010000000000094e-01,7.200109999999999844e-02,1.499999999999999944e-01
6.111879999999999535e-01,7.979319999999999746e-01,1.757879999999999859e-02,8.455559999999999743e-01,1.499999999999999944e-01
7.494239999999999791e-01,9.905779999999999585e-01,9.883859999999999868e-01,6.684780000000000166e-01,1.499999999999999944e-01
4.445410000000000195e-01,3.516770000000000174e-01,3.732509999999999994e-01,6.716750000000000220e-01,1.499999999999999944e-01
2.972509999999999875e-01,6.965029999999999832e-01,5.871100000000000207e-01,4.964930000000000176e-01,1.499999999999999944e-01
2.537349999999999883e-01,4.909689999999999888e-01,2.252349999999999908e-01,6.779690000000000438e-01,1.499999999999999944e-01
5.443459999999999965e-01,9.662209999999999965e-01,3.771410000000000040e-01,8.386339999999999906e-01,1.499999999999999944e-01
3.359130000000000171e-01,3.896279999999999744e-01,8.222890000000000477e-01,1.726449999999999860e-02,1.499999999999999944e-01
6.096209999999999685e-01,4.032140000000000168e-01,2.244180000000000064e-01,4.329180000000000250e-01,1.499999999999999944e-01
7.460299999999999709e-01,1.484830000000000039e-01,6.046099999999999808e-01,5.928170000000000384e-01,1.499999999999999944e-01
3.924869999999999748e-01,7.144239999999999480e-01,3.566210000000000213e-01,6.649570000000000203e-01,1.499999999999999944e-01
4.294200000000000239e-01,4.518780000000000019e-02,6.940950000000000175e-01,8.424979999999999691e-01,1.499999999999999944e-01
4.815349999999999908e-01,9.251260000000000039e-01,1.218339999999999979e-01,3.558749999999999969e-01,1.499999999999999944e-01
5.874129999999999630e-01,2.989860000000000087e-02,8.879130000000000356e-02,2.041590000000000071e-01,1.499999999999999944e-01
2.490749999999999909e-01,5.507570000000000521e-01,9.276739999999999986e-01,9.990839999999999721e-01,1.499999999999999944e-01
8.874880000000000269e-02,7.300489999999999480e-01,5.399909999999999988e-01,8.734819999999999807e-01,1.499999999999999944e-01
2.243819999999999981e-01,9.766430000000000389e-01,9.249180000000000179e-01,5.743600000000000094e-02,1.499999999999999944e-01
8.065450000000000397e-02,1.946590000000000126e-02,1.263279999999999959e-01,8.566620000000000346e-01,1.499999999999999944e-01
9.610060000000000269e-01,3.208619999999999806e-01,5.987879999999999869e-01,4.869290000000000007e-01,1.499999999999999944e-01
4.554469999999999699e-03,3.328599999999999892e-01,7.194160000000000554e-01,9.633080000000000531e-01,1.499999999999999944e-01
4.671960000000000002e-02,5.715149999999999952e-01,9.406299999999999661e-01,7.229799999999999560e-01,1.499999999999999944e-01
1.349569999999999936e-01,6.407620000000000537e-01,6.806820000000000093e-01,1.004739999999999939e-01,1.499999999999999944e-01
8.398360000000000269e-01,4.991860000000000047e-02,8.219480000000000119e-01,7.159899999999999598e-02,1.499999999999999944e-01
9.462249999999999828e-01,5.683099999999999818e-01,8.640330000000000510e-01,9.825169999999999737e-01,1.499999999999999944e-01
3.655909999999999715e-02,8.929049999999999487e-01,3.332689999999999819e-01,7.083439999999999737e-01,1.499999999999999944e-01
5.455759999999999499e-01,7.008450000000000513e-01,8.528900000000000370e-01,6.632329999999999615e-01,1.499999999999999944e-01
5.161550000000000304e-01,1.458579999999999877e-01,1.707780000000000062e-02,4.230470000000000064e-01,1.499999999999999944e-01
2.856259999999999910e-01,2.515919999999999823e-01,9.802389999999999715e-01,8.944360000000000088e-01,1.499999999999999944e-01
7.606899999999999773e-01,9.584559999999999746e-01,9.776280000000000525e-01,1.152640000000000053e-01,1.499999999999999944e-01
2.394630000000000092e-01,9.101749999999999563e-01,9.654660000000000464e-01,9.526080000000000103e-01,1.499999999999999944e-01
9.961579999999999879e-01,7.672780000000000156e-01,4.211730000000000196e-01,3.200589999999999824e-01,1.499999999999999944e-01
9.985460000000000447e-01,5.286750000000000060e-01,1.892109999999999903e-01,5.680490000000000261e-01,1.499999999999999944e-01
6.465870000000000228e-01,3.256589999999999763e-01,6.262799999999999478e-01,3.590409999999999990e-01,1.499999999999999944e-01
7.905590000000000117e-01,9.156039999999999734e-01,6.152760000000000451e-01,9.662420000000000453e-01,1.499999999999999944e-01
1.387599999999999945e-01,3.612240000000000069e-03,9.640419999999999545e-01,7.400069999999999704e-01,1.499999999999999944e-01
6.282079999999999886e-01,4.544219999999999926e-01,6.054869999999999974e-01,8.088109999999999744e-02,1.499999999999999944e-01
2.987199999999999855e-01,7.105690000000000062e-01,3.745829999999999993e-02,7.598150000000000182e-01,1.499999999999999944e-01
5.648239999999999927e-01,5.352580000000000116e-01,9.972039999999999793e-01,3.311959999999999904e-01,1.499999999999999944e-01
2.552059999999999884e-01,1.393389999999999906e-01,3.698730000000000073e-02,1.375730000000000008e-01,1.499999999999999944e-01
5.650220000000000242e-02,9.814420000000000366e-01,6.239949999999999664e-01,1.522830000000000017e-02,1.499999999999999944e-01
3.695180000000000131e-01,1.025670000000000054e-01,2.764969999999999928e-01,5.110339999999999883e-01,1.499999999999999944e-01
