X,Y,Z,W,R
0.442081,0.0923139,0.694583,0.498861,0.15
0.269463,0.535824,0.991574,0.772653,0.15
0.790464,0.870852,0.0662662,0.172527,0.15
0.893718,0.181228,0.470818,0.985488,0.15
0.326407,0.993203,0.39602,0.757563,0.15
0.978128,0.374153,0.304303,0.321385,0.15
0.595718,0.477552,0.992705,0.711733,0.15
0.184358,0.972682,0.0752518,0.868594,0.15
0.43484,0.934836,0.421302,0.00239867,0.15
0.12689,0.740647,0.0917813,0.987232,0.15
0.856891,0.901817,0.920605,0.88575,0.15
0.1605,0.331428,0.502113,0.814507,0.15
0.453181,0.0598144,0.969197,0.861988,0.15
0.169624,0.019694,0.587226,0.581319,0.15
0.755449,0.476401,0.645979,0.549137,0.15
0.478353,0.70515,0.454067,0.97702,0.15
0.736577,0.729362,0.402827,0.7048,0.15
0.959178,0.271517,0.250532,0.812156,0.15
0.710377,0.732326,0.662517,0.393638,0.15
0.635441,0.691542,0.041163,0.406901,0.15
0.940358,0.517509,0.00692745,0.0581377,0.15
0.809909,0.716847,0.4291,0.151575,0.15
0.671297,0.529826,0.445126,0.385965,0.15
0.0185965,0.208494,0.655211,0.339907,0.15
0.952819,0.988258,0.944597,0.578308,0.15
0.284635,0.375149,0.870319,0.544702,0.15
0.675082,0.126532,0.668682,0.014446,0.15
0.0368245,0.0236351,0.381,0.069357,0.15
0.908179,0.177245,0.846684,0.940785,0.15
0.451742,0.222256,0.229568,0.898564,0.15
0.998766,0.693088,0.030166,0.261309,0.15
0.292706,0.650425,0.818198,0.540547,0.15
0.145213,0.050368,0.896481,0.508076,0.15
0.592493,0.0353581,0.197858,0.421495,0.15
0.509258,0.993606,0.464804,0.14234,0.15
0.300517,0.99557,0.0150395,0.279045,0.15
0.669546,0.988743,0.888064,0.668609,0.15
0.58922,0.168549,0.391262,0.0563135,0.15
0.698605,0.696636,0.78165,0.951641,0.15
0.430197,0.972474,0.622759,0.595193,0.15
0.450372,0.226232,0.34122,0.659109,0.15
0.29117,0.74513,0.550312,0.492492,0.15
0.327878,0.547388,0.107887,0.744383,0.15
0.597778,0.970237,0.204024,0.699725,0.15
0.373245,0.218884,0.64356,0.105782,0.15
0.583264,0.409794,0.221368,0.486292,0.15
0.758532,0.130415,0.569174,0.603471,0.15
0.412173,0.749601,0.277898,0.656672,0.15
0.560111,0.134283,0.559246,0.817655,0.15
0.539424,0.92107,0.0896202,0.253123,0.15
0.454581,0.130726,0.951302,0.292971,0.15
0.275773,0.675265,0.85899,0.9942,0.15
0.0413972,0.933963,0.546505,0.731316,0.15
0.000715896,0.0297769,0.876924,0.172252,0.15
0.914111,0.982164,0.224888,0.993988,0.15
0.0105005,0.240319,0.539666,0.614328,0.15
0.0479581,0.34753,0.652453,0.00635064,0.15
0.0426428,0.726733,0.662916,0.590223,0.15
0.158105,0.658153,0.547109,0.0650766,0.15
0.98409,0.991281,0.645446,0.139107,0.15
0.999495,0.605561,0.780424,0.973333,0.15
0.03932,0.799726,0.0932598,0.754381,0.15
0.559452,0.630325,0.712555,0.655103,0.15
0.489285,0.0916217,0.000855208,0.508525,0.15
0.293427,0.300155,0.895908,0.949491,0.15
0.618328,0.112075,0.94881,0.0121929,0.15
0.259495,0.938527,0.847969,0.924799,0.15
0.0335974,0.751879,0.33011,0.191147,0.15
0.00708314,0.344258,0.0897472,0.652483,0.15
0.59397,0.274977,0.704405,0.392092,0.15
0.81716,0.957791,0.564533,0.0195363,0.15
0.0951793,0.987022,0.749481,0.560947,0.15
0.641274,0.350515,0.664534,0.104968,0.15
0.410545,0.828751,0.985701,0.752435,0.15
0.579439,0.532063,0.950893,0.250241,0.15
0.0866541,0.127026,0.0522329,0.251194,0.15
0.97647,0.0103651,0.782495,0.979202,0.15
0.249503,0.0638354,0.147151,0.602755,0.15
0.00801569,0.0828612,0.21031,0.714213,0.15
0.695849,0.28306,0.90308,0.564127,0.15
0.0279008,0.371581,0.00918266,0.840863,0.15
0.422062,0.449205,0.477346,0.266926,0.15
0.368693,0.753565,0.989564,0.07169,0.15
0.651472,0.436866,0.278296,0.757922,0.15
0.824809,0.0157108,0.396995,0.889474,0.15
0.00473567,0.581076,0.963399,0.168391,0.15
0.365774,0.038436,0.0733038,0.0374964,0.15
0.714822,0.483154,0.879402,0.0218608,0.15
0.241205,0.080767,0.331322,0.286961,0.15
0.222394,0.425963,0.355627,0.0452499,0.15
0.00660027,0.674454,0.495187,0.984599,0.15
0.731255,0.261553,0.999883,0.374616,0.15
0.811493,0.50701,0.252416,0.0188861,0.15
0.947782,0.710022,0.184776,0.622289,0.15
0.951436,0.0356838,0.228872,0.175801,0.15
0.173769,0.474927,0.163331,0.981193,0.15
0.306554,0.441316,0.716265,0.292154,0.15
0.93968,0.0177787,0.893813,0.0121483,0.15
0.724638,0.002288,0.574222,0.476109,0.15
0.00505039,0.499518,0.664941,0.0965063,0.15
